背番号,名前,ポジション,生年月日,身長,体重,投,打,備考
11,澤村 拓一,投手,1988/04/03,184,105,右,右,
12,石川 歩,投手,1988/04/11,186,80,右,右,
14,小島 和哉,投手,1996/07/07,178,85,左,左,
15,美馬 学,投手,1986/09/19,169,75,右,左,
16,種市 篤暉,投手,1998/09/07,183,88,右,右,
18,二木 康太,投手,1995/08/01,190,85,右,右,
19,唐川 侑己,投手,1989/07/05,181,90,右,右,
21,石川 柊太,投手,1991/12/27,185,88,右,右,
24,東妻 勇輔,投手,1996/04/04,172,80,右,右,
28,菊地 吏玖,投手,2000/06/13,183,93,右,左,
29,西野 勇士,投手,1991/03/06,183,90,右,右,
30,廣畑 敦也,投手,1997/12/03,175,83,右,右,
31,大谷 輝龍,投手,2000/07/11,180,81,右,右,
33,八木 彬,投手,1997/05/26,180,94,右,右,
34,高野 脩汰,投手,1998/08/13,184,88,左,左,
35,田中 晴也,投手,2004/06/06,186,92,右,左,
36,坂本 光士郎,投手,1994/09/09,179,80,左,左,
37,小野 郁,投手,1996/10/23,175,78,右,右,
40,西村 天裕,投手,1993/05/06,177,92,右,右,
41,一條 力真,投手,2003/02/10,190,90,右,左,
42,サモンズ,投手,1995/04/27,193,106,左,左,
46,岩下 大輝,投手,1996/10/02,182,90,右,右,
47,鈴木 昭汰,投手,1998/09/07,175,80,左,左,
48,中村 稔弥,投手,1996/07/08,178,84,左,左,
52,益田 直也,投手,1989/10/25,179,80,右,右,
53,木村 優人,投手,2005/06/01,184,92,右,左,
54,ボス,投手,1992/06/26,186,97,右,右,
56,中森 俊介,投手,2002/05/29,182,90,右,左,
58,河村 説人,投手,1997/06/18,192,87,右,右,
59,早坂 響,投手,2005/07/26,176,70,右,右,
60,横山 陸人,投手,2001/08/05,180,90,右,右,
62,坂井 遼,投手,2006/05/08,178,78,右,右,
64,廣池 康志郎,投手,2002/09/16,185,85,右,左,
66,澤田 圭佑,投手,1994/04/27,178,96,右,左,
92,国吉 佑樹,投手,1991/09/24,196,106,右,右,
97,ゲレーロ,投手,1991/01/09,203,112,右,右,
2,松川 虎生,捕手,2003/10/20,178,98,右,右,
27,田村 龍弘,捕手,1994/05/13,172,81,右,右,
32,佐藤 都志也,捕手,1998/01/27,181,91,右,左,
45,植田 将太,捕手,1997/12/18,180,86,右,右,
55,柿沼 友哉,捕手,1993/05/12,180,86,右,右,
65,寺地 隆成,捕手,2005/08/19,177,82,右,左,
00,池田 来翔,内野手,1999/12/11,180,95,右,右,
4,友杉 篤輝,内野手,2000/11/07,171,70,右,右,
5,安田 尚憲,内野手,1999/04/15,188,100,右,左,
7,藤岡 裕大,内野手,1993/08/08,178,86,右,左,
8,中村 奨吾,内野手,1992/05/28,180,86,右,右,
10,上田 希由翔,内野手,2001/08/12,183,96,右,左,
39,大下 誠一郎,内野手,1997/11/03,171,89,右,右,
43,石垣 雅海,内野手,1998/09/21,181,88,右,右,
44,宮崎 竜成,内野手,2000/12/09,173,90,右,左,
49,立松 由宇,内野手,1999/02/05,177,82,右,左,
57,小川 龍成,内野手,1998/04/05,171,74,右,左,
67,茶谷 健太,内野手,1998/01/16,186,88,右,右,
68,金田 優太,内野手,2005/02/12,183,83,右,左,
99,ソト,内野手,1989/02/28,185,97,右,右,
0,荻野 貴司,外野手,1985/10/21,172,75,右,右,
1,藤原 恭大,外野手,2000/05/06,181,80,左,左,
3,角中 勝也,外野手,1987/05/25,180,85,右,左,
6,西川 史礁,外野手,2003/03/25,182,88,右,右,
22,ポランコ,外野手,1991/09/14,196,108,左,左,
23,石川 慎吾,外野手,1993/04/27,178,80,右,右,
25,岡 大海,外野手,1991/07/15,185,80,右,右,
38,髙部 瑛斗,外野手,1997/12/11,178,72,右,左,
50,愛斗,外野手,1997/04/06,177,92,右,右,
51,山口 航輝,外野手,2000/08/18,183,100,右,右,
61,山本 大斗,外野手,2002/08/09,180,88,右,右,
63,和田 康士朗,外野手,1999/01/14,185,77,左,左,
120,田中 楓基,投手,2003/08/23,180,75,右,右,
121,本前 郁也,投手,1997/10/02,176,82,左,左,
122,森 遼大朗,投手,1999/04/22,180,87,右,左,
123,秋山 正雲,投手,2003/04/29,174,80,左,左,
124,中村 亮太,投手,1998/05/18,182,79,右,右,
125,永島田 輝斗,投手,2003/11/30,182,90,右,右,
127,吉川 悠斗,投手,2005/03/14,185,82,左,左,
131,茨木 佑太,投手,2006/05/09,187,93,右,右,
132,長島 幸佑,投手,2002/07/05,187,92,右,右,
133,武内 涼太,投手,2005/10/25,184,84,右,右,
139,パラシオス,投手,2004/03/19,184,82,右,右,
137,富山 紘之進,捕手,2005/09/18,181,70,右,右,
129,勝又 琉偉,内野手,2004/10/07,188,78,右,右,
130,谷村 剛,内野手,2006/09/15,177,85,右,左,
134,松石 信八,内野手,2005/12/18,175,75,右,右,
135,髙野 光海,外野手,2004/06/17,187,93,右,右,
136,藤田 和樹,外野手,2005/11/04,185,82,右,左,
138,マーティン,外野手,2000/10/14,188,95,右,右,
140,アセベド,外野手,2002/08/02,195,104,右,右,
